"Number","Category","Severity","File_Location","Issue_Title","Description","Evidence","Impact","Fix"
"98","Code Quality","LOW","code3/f14_ui_dashboard.py:396-397","Password encoding does not specify error handler","""The password is encoded with `self._pw.text().encode()` without specifying an error handler. If the password contains characters that cannot be encoded in the default encoding (UTF-8)"," this will raise a UnicodeEncodeError.""","""Code: `pw = bytearray(self._pw.text().encode())` (line 396).""","""Passwords with certain Unicode characters could cause the login to crash with an unhandled exception."",""Specify an error handler: `self._pw.text().encode('utf-8', errors='replace')` or 'strict' with explicit error handling."
"99","Code Quality","LOW","code1/f02_encrypt_file.py:153","os imported inside __main__ block","""The `os` module is imported inside the `if __name__ == """"__main__"""":` block (line 153). While this works"," it is unconventional.""","""Code: `import os` inside the main block (line 153).""","""Unconventional import placement."",""Move the import to the top of the file."
"100","Code Quality","LOW","code1/f03_decrypt_file.py:198","sys imported inside __main__ block","""Same issue — `sys` is imported inside the main block (line 198).""","""Code: `import sys` inside the main block (line 198).""","""Unconventional import placement.""","""Move the import to the top of the file."
"101","Critical Security","CRITICAL","code2/f11_write_audit_log.py:123-125","AES-ECB encryption with manual zero-padding corrupts SQLite database","""Beyond using ECB mode (issue #2)"," the manual zero-padding (`data + b'\x00' * (cipher.block_size - len(data) % cipher.block_size)`) is incorrect when the data length is already a multiple of the block size — it adds a full block of zeros. This corrupts the database and makes it unreadable after encryption/decryption.""","""Code: `padded = data + b'\x00' * (cipher.block_size - len(data) % cipher.block_size)` (line 124). When `len(data) % cipher.block_size == 0`"," this adds 16 bytes of zeros."",""The encrypted database cannot be decrypted correctly because the padding adds extra bytes. The _encryptFile function effectively destroys the database it tries to protect."",""Use proper PKCS7 padding or switch to a stream cipher mode (GCM, CTR) that doesn't require padding. Better yet, don't encrypt SQLite files in-place — use SQLCipher."
"102","Critical Security","CRITICAL","main-code/sffs_core.py:71-72","Worker script and policy paths resolved at __init__ time","""The worker script path and policy path are resolved in __init__ using `Path(__file__).resolve().parent`. If sffs_core.py is moved or the application is run from a different working directory"," these paths may be incorrect.""","""Code: `self._worker_script = Path(__file__).resolve().parent / """"isolated_worker.py""""` (line 71).""","""If the application structure changes, the worker subprocess will fail to start, causing all decrypt operations to fail silently or with cryptic errors."",""Use a more robust path resolution strategy. Consider using importlib.resources or a configurable path."
"103","Security","HIGH","code3/f14_ui_dashboard.py:394","Auth database path constructed from user-controllable paths dict","""The auth database path is constructed from `self._paths[""""data_dir""""]` which comes from initDriveDetection. If the paths dict is manipulated (e.g."," via config injection)"," the auth database could be created in an arbitrary location.""","""Code: `db = Path(self._paths[""""data_dir""""]) / """"auth.db""""` (line 394)."",""Path injection via the paths dict could cause the auth database to be created in a world-readable location, exposing password hashes."",""Validate the data_dir path is within an expected location (e.g., the USB root or a known sandbox directory)."
"104","Security","HIGH","code2/f09_authenticate_user.py:248-251","Session has no revocation mechanism beyond explicit terminateSession","""Sessions are created with a 24-hour expiry but there is no mechanism to revoke all sessions for a user (e.g."," on password change). The terminateSession function only revokes a single token.""","""Code: Session created with `expires_at = (datetime.now() + timedelta(hours=24)).isoformat()` (line 251).""","""If a user changes their password, existing sessions remain valid for up to 24 hours. An attacker who obtained a session token before the password change retains access."",""Implement a session version number or generation counter in the users table. On password change, increment the version and invalidate all sessions with older versions."
"105","Architecture","MEDIUM","code1/f06_secure_key_storage.py:249-277","wrapAESKey includes key_commitment which is a hash of the AES key","""The wrapAESKey function includes `key_commitment: hashlib.sha256(aes_key).hexdigest()` in the envelope (line 270). This is a hash of the AES key stored alongside the RSA-encrypted key. An attacker who obtains the wrap file can use this hash to verify password guesses without needing the RSA private key.""","""Code: `""""key_commitment"""": hashlib.sha256(aes_key).hexdigest()` (line 270).""","""The key commitment hash allows offline verification of AES key guesses. While the AES key is still protected by RSA-OAEP"," the commitment hash provides a fast verification oracle for any candidate AES key."",""Remove the key_commitment field or use a keyed HMAC instead of a raw hash. The commitment is redundant since unwrapAESKey can verify the key by attempting decryption."
"106","Architecture","MEDIUM","main-code/sffs_core.py:237-238","Wrap file name uses secrets.token_hex making it unpredictable but discoverable","""The wrap file name is generated as `{secrets.token_hex(16)}.aeswrap` (line 237). While unpredictable"," the .aeswrap extension reveals the file's purpose. An attacker can identify all wrap files by searching for this extension.""","""Code: `wrap_name = f""""{secrets.token_hex(16)}.aeswrap""""` (line 237).""","""The .aeswrap extension reveals which files are key wraps, aiding an attacker in targeting specific files for key extraction."",""Use a non-descriptive extension (e.g., .dat) or no extension. Or store wrap files in a separate directory with restricted permissions."
"107","Testing","MEDIUM","tests/","No test for cloudSync download path traversal","""There is no test that verifies cloudSync prevents downloading to paths outside allowed directories. The download action writes to local_path without validation (issue #33).""","""No test case that attempts to download to a path outside the sandbox.""","""An attacker could use the cloud download feature to overwrite arbitrary files on the system.""","""Add a test that verifies cloudSync rejects download paths outside allowed directories."
"108","Testing","MEDIUM","tests/","No test for configLoader with wrong encryption key","""There is no test that verifies configLoader handles decryption failures gracefully when the wrong encryption key is provided.""","""No test case that saves config with key A and tries to load with key B.""","""If the wrong key is provided"," the application crashes with an unhandled exception instead of a user-friendly error."",""Add a test that verifies configLoader raises a clear error when the wrong encryption key is provided."
"109","Security","HIGH","code1/f02_encrypt_file.py:115","GCM encrypt called with associated_data=None losing AEAD benefits","""The encryptFile function calls `aesgcm.encrypt(iv"," plaintext"," associated_data=None)` (line 115). GCM's associated_data (AAD) allows binding additional metadata to the ciphertext. By passing None"," the header metadata (hash_pre, original_size) is not cryptographically bound to the ciphertext."",""Code: `ciphertext = aesgcm.encrypt(iv, plaintext, associated_data=None)` (line 115)."",""An attacker could modify the header fields (hash_pre, original_size) without detection by the GCM tag. The GCM tag only covers the ciphertext, not the header."",""Include the header fields (hash_pre, original_size) as associated_data in the GCM encrypt call. This binds the metadata to the ciphertext, preventing undetected header tampering."
"110","Security","HIGH","code1/f03_decrypt_file.py:158","GCM decrypt called with None associated_data","""Same issue as #109 — decryptFile calls `aesgcm.decrypt(iv"," ciphertext"," None)` (line 158) without associated_data. If encrypt used AAD"," decrypt must use the same AAD, but since encrypt used None, this is consistent but both are wrong."",""Code: `decrypted = aesgcm.decrypt(iv, ciphertext, None)` (line 158)."",""Header metadata is not integrity-protected by GCM. An attacker could modify hash_pre or original_size in the header without detection."",""Use the same associated_data in both encrypt and decrypt. Include header fields as AAD."""
